year,nws_tmax,nws_tmin,nws_precip,prism_precip,prism_tmin,prism_tmean,prism_tmax
1948,57,41.2,45.79,43.55,43.3,50.6,57.9
1949,59.1,41.3,32.46,31.52,42.8,51.1,59.4
1950,57,41,55.14,47.04,42.9,50.6,58.4
1951,58.6,41.1,40.3,35.04,43.3,51.7,60.1
1952,58.7,41.4,23.78,20.8,43.8,51.9,60
1953,58.4,43.1,49.42,42.39,45.5,52.9,60.3
1954,57,42,41.27,38.78,43.9,51.2,58.5
1955,55.2,40.6,46.61,40,42.4,49.4,56.5
1956,57.4,42,36.85,34.79,43.8,51.3,58.7
1957,58.2,43.2,34.63,32.99,44.7,52.2,59.6
1958,61.9,45.7,42.63,38.24,47.2,55.1,63.1
1959,57.9,43.8,46.52,40.87,44.9,51.9,58.9
1960,58.3,43.2,39.28,37.86,44.8,51.9,59
1961,60,44,42.53,39.57,45.5,53,60.5
1962,58.5,43.4,35.79,33.57,45,52.3,59.6
1963,59.2,44.4,38.72,35.09,45.5,52.7,59.9
1964,57.2,42.8,41.34,38.97,44.1,51,57.9
1965,60.3,44.8,33.56,33.25,45.5,52.9,60.3
1966,59,44.6,38.23,36.91,46,53.1,60.1
1967,60.7,45.7,35.58,34.96,46.2,53.7,61.3
1968,59.7,45.2,50.15,46.79,45.6,52.8,60.1
1969,59.6,44.9,33.73,35.56,44.8,52.3,59.8
1970,59,44.6,37.41,37.07,44.6,52.4,60.2
1971,57.3,43.9,43.21,40.64,44.2,51.4,58.6
1972,58.2,44,48.36,43.44,44,51.5,59.1
1973,58.8,44.4,35.04,35.77,44.5,52.1,59.7
1974,60,44.8,37.87,39.14,44.8,52.4,60
1975,58.7,43.8,44.48,45.36,44.2,51.4,58.5
1976,59.9,45.1,26.7,28.48,44.7,52.1,59.4
1977,60.5,45.4,32.84,35.46,44.3,52,59.7
1978,59.9,45.2,33.99,35.34,45.1,52.5,60
1979,60.8,45.2,32.26,34.17,44.8,52.7,60.7
1980,58.4,44.3,35.6,39.65,45.2,52.6,60
1981,60,45.3,35.4,43.71,45.7,53.5,61.3
1982,58.7,43.9,39.32,38.37,44,51.9,59.7
1983,59.5,45.8,40.93,43.23,45.6,53.1,60.6
1984,58.6,44.3,36.99,41.49,44.5,52.1,59.6
1985,57.5,42.2,25.13,26.65,42.7,50.5,58.2
1986,60.4,45.3,38.34,41.47,45.9,53.1,60.4
1987,62.1,45.1,29.93,32.02,45.7,53.6,61.4
1988,60.2,44.5,32.98,33.48,45.4,52.5,59.6
1989,60.3,44.6,34.69,33.23,45.2,52.3,59.4
1990,60,44.6,44.75,41.12,45.5,52.5,59.5
1991,60.6,45.1,35.42,34.94,45.5,52.7,59.8
1992,62.5,46.1,32.78,34.57,46.2,54,61.7
1993,60,44.4,28.8,29.56,45,52.4,59.9
1994,61,45.9,34.82,36.05,45.9,53.4,60.9
1995,62,46.7,42.6,43.83,46.3,54,61.8
1996,59.3,44.4,50.67,51.9,44.7,52,59.3
1997,59.8,45.2,43.26,48.75,46.2,53.5,60.8
1998,60.1,45.9,(Missing)*,45.91,46.7,53.8,60.8
1999,58.5,44.4,42.11,50.76,45.2,52.1,58.9
2000,58.7,44.3,28.66,31.35,44.8,52,59.2
2001,58.4,44.1,37.56,40.6,45,52,59.1
2002,58.9,44.4,31.36,33,45.1,52.3,59.5
2003,60.4,45.7,41.78,43.54,46.2,53.5,60.9
2004,60.6,46.2,31.1,32.54,46.9,54,61
2005,60.1,45.6,35.44,35.64,46.1,53.2,60.4
2006,61,45.3,48.42,45.78,45.7,53,60.3
2007,59.2,44.9,38.95,35.45,45.4,52.3,59.1
2008,58.5,44.4,30.73,29.11,44.6,51.3,58.1
2009,59.9,44.4,38.44,36,44.5,52.1,59.7
2010,59.6,45.8,46.99,45.85,46.1,52.9,59.7
2011,58,43.9,36.39,35.85,44.2,50.9,57.7
2012,59.5,45.1,48.26,47.81,45,52,59.1
2013,60.8,46.7,32.56,27.87,45.5,52.6,59.6
2014,62.5,47.5,48.5,47.2,46.9,54.3,61.8
2015,63.3,47.9,44.83,39.08,47.4,55.2,62.9
2016,62.5,47.6,45.18,46.41,47.1,54.5,61.8
2017,60.8,45.6,47.87,45.96,45,52.6,60.2
2018,62.2,47.1,35.73,35.99,45.8,53.5,61.2
2019,61.3,46.7,33.88,32.65,44.9,52.6,60.3
2020,61.7,47,41.32,41.2,45.9,53.3,60.8
2021,61.2,45.8,(Missing)*,40.75,45.5,53.1,60.8
2022,60.3,45.2,40.93,39.51,45.1,52.7,60.4
2023,61.5,46.1,34.97,35.06,45.7,53.7,61.7
2024,60.8,46.3,32.17,36.08,46.6,53.9,61.2
