Year,Mean Max Temp (°F) +1,Mean Min Temp (°F) +1,Total Precipitation (in) +1
1948,57,41.2,45.79
1949,59.1,41.3,32.46
1950,57,41,55.14
1951,58.6,41.1,40.3
1952,58.7,41.4,23.78
1953,58.4,43.1,49.42
1954,57,42,41.27
1955,55.2,40.6,46.61
1956,57.4,42,36.85
1957,58.2,43.2,34.63
1958,61.9,45.7,42.63
1959,57.9,43.8,46.52
1960,58.3,43.2,39.28
1961,60,44,42.53
1962,58.5,43.4,35.79
1963,59.2,44.4,38.72
1964,57.2,42.8,41.34
1965,60.3,44.8,33.56
1966,59,44.6,38.23
1967,60.7,45.7,35.58
1968,59.7,45.2,50.15
1969,59.6,44.9,33.73
1970,59,44.6,37.41
1971,57.3,43.9,43.21
1972,58.2,44,48.36
1973,58.8,44.4,35.04
1974,60,44.8,37.87
1975,58.7,43.8,44.48
1976,59.9,45.1,26.7
1977,60.5,45.4,32.84
1978,59.9,45.2,33.99
1979,60.8,45.2,32.26
1980,58.4,44.3,35.6
1981,60,45.3,35.4
1982,58.7,43.9,39.32
1983,59.5,45.8,40.93
1984,58.6,44.3,36.99
1985,57.5,42.2,25.13
1986,60.4,45.3,38.34
1987,62.1,45.1,29.93
1988,60.2,44.5,32.98
1989,60.3,44.6,34.69
1990,60,44.6,44.75
1991,60.6,45.1,35.42
1992,62.5,46.1,32.78
1993,60,44.4,28.8
1994,61,45.9,34.82
1995,62,46.7,42.6
1996,59.3,44.4,50.67
1997,59.8,45.2,43.26
1998,60.1,45.9,(Missing)*
1999,58.5,44.4,42.11
2000,58.7,44.3,28.66
2001,58.4,44.1,37.56
2002,58.9,44.4,31.36
2003,60.4,45.7,41.78
2004,60.6,46.2,31.1
2005,60.1,45.6,35.44
2006,61,45.3,48.42
2007,59.2,44.9,38.95
2008,58.5,44.4,30.73
2009,59.9,44.4,38.44
2010,59.6,45.8,46.99
2011,58,43.9,36.39
2012,59.5,45.1,48.26
2013,60.8,46.7,32.56
2014,62.5,47.5,48.5
2015,63.3,47.9,44.83
2016,62.5,47.6,45.18
2017,60.8,45.6,47.87
2018,62.2,47.1,35.73
2019,61.3,46.7,33.88
2020,61.7,47,41.32
2021,61.2,45.8,(Missing)*
2022,60.3,45.2,40.93
2023,61.5,46.1,34.97
2024,60.8,46.3,32.17
