PRISM Time Series Data
Location:  Lat: 47.6130   Lon: -122.3408   Elev: 171ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1948 - 2024
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Feb-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1948,43.55,43.3,50.6,57.9
1949,31.52,42.8,51.1,59.4
1950,47.04,42.9,50.6,58.4
1951,35.04,43.3,51.7,60.1
1952,20.80,43.8,51.9,60.0
1953,42.39,45.5,52.9,60.3
1954,38.78,43.9,51.2,58.5
1955,40.00,42.4,49.4,56.5
1956,34.79,43.8,51.3,58.7
1957,32.99,44.7,52.2,59.6
1958,38.24,47.2,55.1,63.1
1959,40.87,44.9,51.9,58.9
1960,37.86,44.8,51.9,59.0
1961,39.57,45.5,53.0,60.5
1962,33.57,45.0,52.3,59.6
1963,35.09,45.5,52.7,59.9
1964,38.97,44.1,51.0,57.9
1965,33.25,45.5,52.9,60.3
1966,36.91,46.0,53.1,60.1
1967,34.96,46.2,53.7,61.3
1968,46.79,45.6,52.8,60.1
1969,35.56,44.8,52.3,59.8
1970,37.07,44.6,52.4,60.2
1971,40.64,44.2,51.4,58.6
1972,43.44,44.0,51.5,59.1
1973,35.77,44.5,52.1,59.7
1974,39.14,44.8,52.4,60.0
1975,45.36,44.2,51.4,58.5
1976,28.48,44.7,52.1,59.4
1977,35.46,44.3,52.0,59.7
1978,35.34,45.1,52.5,60.0
1979,34.17,44.8,52.7,60.7
1980,39.65,45.2,52.6,60.0
1981,43.71,45.7,53.5,61.3
1982,38.37,44.0,51.9,59.7
1983,43.23,45.6,53.1,60.6
1984,41.49,44.5,52.1,59.6
1985,26.65,42.7,50.5,58.2
1986,41.47,45.9,53.1,60.4
1987,32.02,45.7,53.6,61.4
1988,33.48,45.4,52.5,59.6
1989,33.23,45.2,52.3,59.4
1990,41.12,45.5,52.5,59.5
1991,34.94,45.5,52.7,59.8
1992,34.57,46.2,54.0,61.7
1993,29.56,45.0,52.4,59.9
1994,36.05,45.9,53.4,60.9
1995,43.83,46.3,54.0,61.8
1996,51.90,44.7,52.0,59.3
1997,48.75,46.2,53.5,60.8
1998,45.91,46.7,53.8,60.8
1999,50.76,45.2,52.1,58.9
2000,31.35,44.8,52.0,59.2
2001,40.60,45.0,52.0,59.1
2002,33.00,45.1,52.3,59.5
2003,43.54,46.2,53.5,60.9
2004,32.54,46.9,54.0,61.0
2005,35.64,46.1,53.2,60.4
2006,45.78,45.7,53.0,60.3
2007,35.45,45.4,52.3,59.1
2008,29.11,44.6,51.3,58.1
2009,36.00,44.5,52.1,59.7
2010,45.85,46.1,52.9,59.7
2011,35.85,44.2,50.9,57.7
2012,47.81,45.0,52.0,59.1
2013,27.87,45.5,52.6,59.6
2014,47.20,46.9,54.3,61.8
2015,39.08,47.4,55.2,62.9
2016,46.41,47.1,54.5,61.8
2017,45.96,45.0,52.6,60.2
2018,35.99,45.8,53.5,61.2
2019,32.65,44.9,52.6,60.3
2020,41.20,45.9,53.3,60.8
2021,40.75,45.5,53.1,60.8
2022,39.51,45.1,52.7,60.4
2023,35.06,45.7,53.7,61.7
2024,36.08,46.6,53.9,61.2
